name,type,amphoe_id,id
เทศบาลตำบลโคกกรวด,เทศบาลตำบล,3001,3001001
เทศบาลตำบลโคกสูง,เทศบาลตำบล,3001,3001002
เทศบาลตำบลจอหอ,เทศบาลตำบล,3001,3001003
เทศบาลตำบลปรุใหญ่,เทศบาลตำบล,3001,3001004
เทศบาลตำบลโพธิ์กลาง,เทศบาลตำบล,3001,3001005
เทศบาลตำบลหนองไข่น้ำ,เทศบาลตำบล,3001,3001006
เทศบาลตำบลหนองไผ่ล้อม,เทศบาลตำบล,3001,3001007
เทศบาลตำบลหัวทะเล,เทศบาลตำบล,3001,3001008
เทศบาลตำบลเมืองใหม่โคกกรวด,เทศบาลตำบล,3001,3001009
เทศบาลตำบลบ้านใหม่,เทศบาลตำบล,3001,3001010
เทศบาลตำบลสุรนารี,เทศบาลตำบล,3001,3001011
เทศบาลตำบลพุดซา,เทศบาลตำบล,3001,3001012
เทศบาลตำบลบ้านโพธิ์,เทศบาลตำบล,3001,3001013
เทศบาลตำบลไชยมงคล,เทศบาลตำบล,3001,3001014
เทศบาลตำบลตลาด,เทศบาลตำบล,3001,3001015
องค์การบริหารส่วนตำบลหนองบัวศาลา,อบต.,3001,3001016
องค์การบริหารส่วนตำบลจอหอ,อบต.,3001,3001017
องค์การบริหารส่วนตำบลหนองจะบก,อบต.,3001,3001018
องค์การบริหารส่วนตำบลหนองระเวียง,อบต.,3001,3001019
องค์การบริหารส่วนตำบลบ้านเกาะ,อบต.,3001,3001020
องค์การบริหารส่วนตำบลหมื่นไวย,อบต.,3001,3001021
องค์การบริหารส่วนตำบลหนองกระทุ่ม,อบต.,3001,3001022
องค์การบริหารส่วนตำบลมะเริง,อบต.,3001,3001023
องค์การบริหารส่วนตำบลสีมุม,อบต.,3001,3001024
องค์การบริหารส่วนตำบลพะเนา,อบต.,3001,3001025
องค์การบริหารส่วนตำบลพลกรัง,อบต.,3001,3001026
เทศบาลตำบลไทรโยง-ไชยวาล,เทศบาลตำบล,3002,3002001
เทศบาลตำบลจระเข้หิน,เทศบาลตำบล,3002,3002002
เทศบาลตำบลแชะ,เทศบาลตำบล,3002,3002003
เทศบาลตำบลครบุรีใต้,เทศบาลตำบล,3002,3002004
เทศบาลตำบลอรพิมพ์,เทศบาลตำบล,3002,3002005
องค์การบริหารส่วนตำบลแชะ,อบต.,3002,3002006
องค์การบริหารส่วนตำบลเฉลียง,อบต.,3002,3002007
