plan_id,tactic_id
PLAN001,TACT014
PLAN001,TACT015
PLAN001,TACT017
PLAN001,TACT019
PLAN001,TACT020
PLAN001,TACT021
PLAN002,TACT002
PLAN002,TACT003
PLAN002,TACT015
PLAN002,TACT016
PLAN002,TACT019
PLAN002,TACT020
PLAN002,TACT021
PLAN003,TACT004
PLAN003,TACT009
PLAN003,TACT019
PLAN003,TACT020
PLAN003,TACT021
PLAN004,TACT007
PLAN004,TACT009
PLAN004,TACT019
PLAN004,TACT020
PLAN004,TACT021
PLAN005,TACT005
PLAN005,TACT006
PLAN005,TACT009
PLAN005,TACT019
PLAN005,TACT020
PLAN005,TACT021
PLAN006,TACT014
PLAN006,TACT015
PLAN006,TACT017
PLAN006,TACT019
PLAN006,TACT020
PLAN006,TACT021
PLAN007,TACT001
PLAN007,TACT003
PLAN007,TACT005
PLAN007,TACT006
PLAN007,TACT008
PLAN007,TACT009
PLAN007,TACT010
PLAN007,TACT012
PLAN007,TACT013
PLAN007,TACT015
PLAN007,TACT016
PLAN007,TACT019
PLAN007,TACT020
PLAN007,TACT021
PLAN008,TACT011
PLAN008,TACT015
PLAN008,TACT018
PLAN009,TACT014
PLAN009,TACT015
PLAN009,TACT017
PLAN009,TACT019
PLAN009,TACT020
PLAN009,TACT021
PLAN010,TACT002
PLAN010,TACT003
PLAN010,TACT010
PLAN010,TACT012
PLAN010,TACT013
PLAN011,TACT015
PLAN012,TACT005
PLAN012,TACT006
PLAN012,TACT009
PLAN012,TACT019
PLAN012,TACT020
PLAN012,TACT021
